iterations,fitness value,time
40,100.65,4.885917E-4
80,102.2,1.8097735E-4
120,112.1,1.278418E-4
160,119.95,1.8366375E-4
200,123.85,2.6465135E-4
240,129.45,2.589825E-4
280,134.45,4.270018E-4
320,136.0,3.0889825E-4
360,142.4,2.5771815E-4
400,142.35,2.8314005E-4
440,145.05,2.8975755E-4
480,149.55,3.8474985E-4
520,151.0,3.0974775E-4
560,152.1,3.6051305E-4
600,151.75,3.5824125E-4
640,157.5,5.731348E-4
680,156.5,6.9475445E-4
720,158.7,4.390906E-4
760,158.25,4.4165845E-4
800,161.5,5.5002365E-4
840,162.45,5.6576685E-4
880,161.7,6.143595E-4
920,163.85,0.0010242354
960,163.35,0.0010642156
1000,164.45,8.1793455E-4
1040,164.75,8.346655E-4
1080,165.75,7.44947E-4
1120,166.55,7.7032965E-4
1160,169.45,8.622801E-4
1200,168.2,8.718011E-4
1240,170.0,8.2871975E-4
1280,169.9,0.0011157909
1320,170.55,0.0013481461
1360,169.35,0.0014438099
1400,172.15,0.00115583035
1440,171.5,9.376776E-4
1480,173.1,9.7090205E-4
1520,172.05,0.0012070696
1560,171.65,0.0010390502
1600,172.3,0.0012643339
1640,174.2,0.00101777635
1680,175.15,0.00108250695
1720,173.25,0.00131727205
1760,173.9,0.0012109215
1800,176.2,0.00155039755
1840,175.8,0.00229220375
1880,175.3,0.00223015945
1920,176.35,0.0015321655
1960,176.4,0.0012634251
2000,175.25,0.00126451155
2040,175.2,0.0012022894
2080,176.6,0.00131351875
2120,178.15,0.00135498045
2160,176.9,0.0013988914
2200,177.75,0.0012729067
2240,178.15,0.00124541045
2280,178.75,0.00125611665
2320,179.15,0.0012395042
2360,180.25,0.0012999484
2400,178.25,0.0018688561
2440,177.9,0.00232661375
2480,178.5,0.00244568495
2520,177.8,0.00239703335
2560,178.45,0.00151306435
2600,179.8,0.00148440255
2640,180.8,0.0016164517
2680,180.25,0.00165271835
2720,179.75,0.00163976025
2760,180.65,0.00163460505
2800,179.85,0.0015893307
2840,180.0,0.00171288615
2880,180.9,0.0017860713
2920,181.85,0.0017988515
2960,180.4,0.0018508021
3000,181.3,0.00197518695
3040,180.75,0.0017871972
3080,180.95,0.0021031472
3120,181.25,0.0019707427
3160,181.85,0.00201475235
3200,182.5,0.001981982
3240,180.6,0.00198832275
3280,181.95,0.0020138041
3320,182.25,0.00198032275
3360,180.3,0.0019197599
3400,183.2,0.00207399185
3440,181.55,0.0021375176
3480,182.5,0.0020597104
3520,182.9,0.00211847565
3560,181.1,0.00203806105
3600,183.45,0.00209643135
3640,182.95,0.0021872362
3680,182.5,0.00236471715
3720,182.8,0.00222605085
3760,182.6,0.0021867618
3800,183.15,0.0022469296
3840,183.2,0.00244651455
3880,183.05,0.002569339
3920,183.25,0.00238605065
3960,183.85,0.0022584261
4000,183.7,0.0024965887
4040,182.9,0.00247713185
4080,183.65,0.0024443813
4120,183.55,0.00243225305
4160,183.95,0.0025544258
4200,184.9,0.00275531425
4240,183.55,0.00267084985
4280,183.7,0.0027036994
4320,183.95,0.0025140701
4360,185.0,0.0025355615
4400,184.45,0.0028898522
4440,183.55,0.0027869586
4480,184.3,0.0028890425
4520,184.95,0.0026861389
4560,185.55,0.00274543755
4600,185.45,0.0029245584
4640,184.7,0.0029011314
4680,184.2,0.00270761055
4720,186.05,0.0029883606
4760,185.5,0.00286871625
4800,186.3,0.00288366975
4840,184.8,0.0028451115
4880,185.55,0.00307782235
4920,185.9,0.00299367435
4960,185.8,0.00299730885
5000,185.85,0.00289773365
