iterations,fitness value,time
40,105.1,2.97285E-5
80,115.9,4.884925E-5
120,121.1,7.9269E-5
160,124.55,9.092325E-5
200,130.5,1.0467135E-4
240,134.8,1.3042955E-4
280,139.5,1.442766E-4
320,144.0,1.668738E-4
360,144.7,1.7825135E-4
400,145.95,1.9907115E-4
440,147.6,3.138565E-4
480,151.55,2.5825155E-4
520,152.25,3.803652E-4
560,154.65,3.290859E-4
600,156.65,3.641278E-4
640,157.5,3.5320435E-4
680,157.1,4.453327E-4
720,159.5,3.930463E-4
760,159.6,5.1879415E-4
800,161.65,4.551103E-4
840,163.35,5.096091E-4
880,163.55,5.7189055E-4
920,163.8,5.204339E-4
960,166.4,5.359004E-4
1000,164.4,6.9232485E-4
1040,166.5,5.937373E-4
1080,166.0,6.6666555E-4
1120,168.7,6.5352985E-4
1160,168.3,6.3589025E-4
1200,167.95,6.728286E-4
1240,170.65,6.926013E-4
1280,171.15,9.105962E-4
1320,170.6,8.2085805E-4
1360,169.35,8.6370215E-4
1400,172.25,9.404036E-4
1440,172.55,8.8335675E-4
1480,172.75,9.345959E-4
1520,174.2,0.00103425035
1560,172.2,0.0011660821
1600,174.6,0.00123685735
1640,173.4,0.00123547465
1680,173.4,0.00136945965
1720,174.15,0.0013651535
1760,174.85,0.0012509018
1800,175.7,0.0011728178
1840,174.8,0.00118891665
1880,176.3,0.0014738151
1920,175.95,0.00139235315
1960,176.6,0.00138115335
2000,175.45,0.00146385935
2040,176.75,0.00154336525
2080,176.3,0.00150773095
2120,176.9,0.00156975555
2160,177.95,0.00154569625
2200,176.65,0.00133963235
2240,176.9,0.00137716325
2280,177.35,0.00175199715
2320,179.05,0.001703938
2360,179.1,0.00164025415
2400,179.25,0.00190613045
2440,179.85,0.001856412
2480,178.3,0.00188872795
2520,179.05,0.00173868375
2560,179.95,0.00172177495
2600,179.55,0.0018324119
2640,179.8,0.001673696
2680,180.55,0.0017689651
2720,179.65,0.00182749345
2760,180.05,0.00202484615
2800,179.65,0.002423206
2840,181.0,0.0022210138
2880,180.25,0.00213564105
2920,181.15,0.00211648055
2960,181.05,0.00237884075
3000,181.25,0.00256122065
3040,181.4,0.00245816895
3080,181.55,0.00255025755
3120,180.3,0.00244438125
3160,182.1,0.0024280455
3200,181.5,0.00219387295
3240,180.65,0.0026387317
3280,182.1,0.0026511169
3320,182.5,0.002331137
3360,183.0,0.0022933494
3400,181.85,0.0023197593
3440,182.8,0.00235594685
3480,181.55,0.0026629092
3520,183.1,0.0029463854
3560,183.7,0.00295954095
3600,184.15,0.0028926966
3640,184.25,0.00291594595
3680,184.5,0.0029640447
3720,183.05,0.0029320054
3760,183.6,0.0029757977
3800,183.75,0.00266312665
3840,184.3,0.00266486485
3880,183.45,0.0027047462
3920,184.05,0.00276396615
3960,182.35,0.0028434325
4000,184.1,0.00289405965
4040,184.25,0.00287790165
4080,184.9,0.00309447405
4120,183.9,0.0029570522
4160,185.7,0.0032147505
4200,185.1,0.00303359505
4240,184.4,0.0031851604
4280,185.3,0.0033260391
4320,184.85,0.0032724688
4360,184.6,0.00324837025
4400,185.4,0.0032260492
4440,185.0,0.0034122611
4480,185.1,0.0038116878
4520,185.15,0.00381548035
4560,185.1,0.00380277915
4600,185.3,0.00356335245
4640,185.4,0.0036590758
4680,185.25,0.0038730605
4720,186.35,0.00380511
4760,185.3,0.00376994955
4800,185.85,0.00374557425
4840,184.7,0.00363027585
4880,185.0,0.00365334715
4920,185.8,0.0036907991
4960,185.75,0.0040856824
5000,186.1,0.00392234445
