iterations,fitness value,time
40,0.037077485049706475,4.07307E-5
80,0.03677147264243766,4.33778E-5
120,0.03749416490227138,6.765405E-5
160,0.03819711180570273,6.64097E-5
200,0.036173709329834804,8.0059E-5
240,0.038537413800027724,1.055407E-4
280,0.03744998929618175,1.1620735E-4
320,0.03731264897719162,1.265578E-4
360,0.03711293718051506,1.950416E-4
400,0.03763531571020269,2.4361445E-4
440,0.03751333833163974,1.648785E-4
480,0.03715089087804262,2.3626625E-4
520,0.03639976982870551,1.9701705E-4
560,0.038175186175305555,2.426466E-4
600,0.037380345452380996,2.163948E-4
640,0.03780302285314675,3.4168835E-4
680,0.04196542245419551,3.3957485E-4
720,0.04757592126940983,2.7180195E-4
760,0.05372291324466345,3.4877975E-4
800,0.05834020321216097,3.5837975E-4
840,0.06185912148312357,3.9288835E-4
880,0.06478199744362548,3.9701665E-4
920,0.06880499071254041,3.6319945E-4
960,0.06823352637983178,5.1034E-4
1000,0.07092591723537837,6.5678905E-4
1040,0.07347713166424139,4.6664605E-4
1080,0.07267591667595147,4.660142E-4
1120,0.07705764573098703,6.2567805E-4
1160,0.07639783007177695,5.542312E-4
1200,0.07881103158056021,6.6425585E-4
1240,0.07916163833165563,0.00127075365
1280,0.08102664818561209,0.00111039845
1320,0.08272640797645023,0.0011162649
1360,0.0837548273737949,8.039296E-4
1400,0.08459913171646041,8.903097E-4
1440,0.08398692229099754,8.683049E-4
1480,0.08654974332414173,9.9747005E-4
1520,0.08748119941073455,9.0083815E-4
1560,0.08598045253761004,0.0011110897
1600,0.08899086876992002,0.001068739
1640,0.08814225595687827,0.00106729705
1680,0.0919058890674137,0.0011848278
1720,0.09097066432385621,0.00120140055
1760,0.09080973698495656,0.00100772185
1800,0.09500165861024458,0.001137697
1840,0.09392518215238906,0.00123393405
1880,0.09230884580110874,0.0010403341
1920,0.09174362987084775,0.00123373625
1960,0.09673161729628814,0.00123936605
2000,0.09446108151816142,0.00137469415
2040,0.09735276193735304,0.00123869435
2080,0.0923984074370097,0.00130836325
2120,0.09670513027314633,0.00146498545
2160,0.09911640291897678,0.0014412423
2200,0.10049584944505889,0.0016671382
2240,0.09585212453302414,0.00156404695
2280,0.09842448929088098,0.0015500618
2320,0.09976532856928218,0.0016737949
2360,0.1009786693197473,0.0016942986
2400,0.09816099645371541,0.00157366675
2440,0.09876162845994411,0.00182620945
2480,0.10281503237494449,0.00197042655
2520,0.09955714502625275,0.00202526105
2560,0.10086799179184827,0.0019857548
2600,0.10325207833302863,0.00175116735
2640,0.10256993955210067,0.00189577985
2680,0.09911861436865611,0.00186563665
2720,0.10207053753178039,0.0020400559
2760,0.10319910951922817,0.0019269106
2800,0.10333778110505598,0.00205933495
2840,0.10230437158612031,0.00222853965
2880,0.10571238969659524,0.00230986295
2920,0.10286138775082039,0.0025285886
2960,0.10622678900370017,0.00213333005
3000,0.10547544500460408,0.00238508255
3040,0.105051125332534,0.00241095915
3080,0.10310478909856349,0.0021206485
3120,0.1055577782207942,0.00219634225
3160,0.10557074610383307,0.0023722038
3200,0.10576094080890089,0.00222836195
3240,0.10365710356940316,0.00251819855
3280,0.10573294815080718,0.00219254965
3320,0.10574693779581282,0.0024184456
3360,0.10431121610146872,0.00277700305
3400,0.10698026545254928,0.00263282545
3440,0.1064222640491775,0.00257698355
3480,0.1066620714468203,0.00254312685
3520,0.1032089041920371,0.00253581815
3560,0.10705147412525191,0.0025806973
3600,0.10870580542860235,0.0029340201
3640,0.10673360060496495,0.0027143069
3680,0.10866058086560981,0.002753971
3720,0.10836283222482113,0.0028283214
3760,0.10644961672687928,0.0027706229
3800,0.11026320221984258,0.0029165979
3840,0.10603438230108805,0.00295051385
3880,0.10638998949764403,0.00286861765
3920,0.10719213976943151,0.0025894082
3960,0.10755984819226323,0.0027987114
4000,0.1078137659453677,0.00308064695
4040,0.10987873819203038,0.00328643445
4080,0.1080066896710414,0.0032104838
4120,0.11057661580269282,0.0030327459
4160,0.11357754265977804,0.0030722124
4200,0.10914263138875986,0.00318055785
4240,0.11247175733607191,0.00322857755
4280,0.11173868604286345,0.00312844955
4320,0.10762039107681953,0.00331059215
4360,0.10814913471648283,0.00322794555
4400,0.11064444221744951,0.00332811345
4440,0.10927181537174817,0.00330956525
4480,0.11021495195521373,0.00343983665
4520,0.1116544064703526,0.00317273585
4560,0.11057436126877654,0.0036732979
4600,0.11185625813244311,0.00383661605
4640,0.11302729547269093,0.0037754015
4680,0.1106343065559785,0.00392301605
4720,0.1084657759473322,0.0034895945
4760,0.11384646641751013,0.0040128134
4800,0.11245907035518869,0.0037758952
4840,0.11049004014995663,0.0041609218
4880,0.11167016681179136,0.0041651884
4920,0.1158231163654588,0.0041827688
4960,0.11182548385754283,0.00427554875
5000,0.11448681026868157,0.0039040926
