iterations,expected value,max steps,time
0,-107.0,95,0.0
1,-124.4,42,0.0
2,-51.9,42,0.0
3,-86.9,152,0.0
4,-46.9,46,0.0
5,-80.6,33,0.0
6,6.1,181,0.0
7,-18.8,29,0.0
8,18.6,181,0.0
9,24.1,54,0.0
10,14.7,124,0.0
11,66.1,98,0.0
12,54.0,13,0.0
13,76.5,19,0.0
14,78.4,29,0.0
15,73.9,82,0.0
16,82.6,20,0.0
17,72.1,44,0.0
18,70.3,22,0.0
19,81.5,32,0.0
20,34.0,20,0.0
21,82.3,12,0.0
22,74.6,55,0.0
23,80.5,12,0.0
24,77.8,27,0.0
25,76.6,30,0.0
26,68.9,24,0.0
27,74.1,17,0.0
28,71.2,28,0.0
29,69.1,58,0.0
30,58.7,28,0.0
31,82.9,13,0.0
32,79.7,45,0.0
33,85.4,15,0.0
34,82.1,12,0.0
35,82.8,14,0.0
36,79.4,18,0.0
37,76.8,21,0.0
38,77.2,14,0.0
39,81.1,18,0.0
40,81.0,17,0.0
41,76.1,15,0.0
42,73.7,18,0.0
43,78.9,12,0.0
44,81.5,26,0.0
45,83.2,16,0.0
46,83.6,14,0.0
47,81.3,18,0.0
48,78.0,21,0.0
49,75.6,18,0.0
50,78.7,13,0.0
51,80.0,15,0.0
52,80.4,14,0.0
53,78.4,22,0.0
54,81.1,10,0.0
55,81.0,14,0.0
56,83.4,12,0.0
57,82.1,20,0.0
58,74.2,16,0.0
59,79.8,12,0.0
60,84.3,11,0.0
61,79.6,13,0.0
62,84.0,19,0.0
63,79.8,14,0.0
64,80.7,18,0.0
65,84.0,16,0.0
66,83.3,13,0.0
67,81.4,14,0.0
68,79.0,11,0.0
69,77.9,12,0.0
70,82.0,12,0.0
71,81.4,26,0.0
72,80.3,12,0.0
73,76.4,26,0.0
74,82.2,13,0.0
75,81.8,11,0.0
76,84.6,22,0.0
77,84.6,16,0.0
78,78.9,11,0.0
79,79.6,43,0.0
80,84.1,18,0.0
81,72.5,19,0.0
82,78.4,11,0.0
83,82.2,10,0.0
84,79.4,11,0.0
85,77.3,16,0.0
86,81.4,19,0.0
87,81.6,10,0.0
88,79.6,20,0.0
89,77.3,71,0.0
90,79.8,16,0.0
91,85.1,12,0.0
92,62.6,13,0.0
93,81.4,14,0.0
94,80.9,14,0.0
95,82.4,23,0.0
96,81.5,24,0.0
97,82.5,18,0.0
98,77.2,29,0.0
99,84.1,18,0.0
100,73.3,17,0.0
101,70.1,21,0.0
102,81.1,10,0.0
103,77.9,11,0.0
104,62.4,18,0.0
105,84.2,25,0.0
106,83.4,12,0.0
107,84.9,12,0.0
108,84.6,19,0.0
109,85.6,12,0.0
110,82.7,12,0.0
111,79.3,12,0.0
112,79.8,30,0.0
113,80.5,13,0.0
114,79.7,27,0.0
115,84.0,21,0.0
116,80.7,10,0.0
117,82.3,13,0.0
118,81.2,25,0.0
119,84.1,14,0.0
120,82.6,30,0.0
121,82.1,21,0.0
122,83.9,28,0.0
123,80.3,23,0.0
124,69.5,11,0.0
125,84.1,15,0.0
126,79.7,14,0.0
127,80.7,25,0.0
128,80.5,23,0.0
129,72.7,11,0.0
130,70.8,16,0.0
131,75.4,19,0.0
132,77.4,20,0.0
133,83.9,15,0.0
134,77.4,16,0.0
135,78.3,17,0.0
136,82.0,26,0.0
137,82.2,19,0.0
138,84.7,19,0.0
139,82.0,13,0.0
140,81.7,17,0.0
141,81.0,13,0.0
142,83.1,10,0.0
143,80.1,31,0.0
144,77.1,24,0.0
145,85.2,15,0.0
146,82.4,19,0.0
147,81.5,18,0.0
148,83.2,11,0.0
149,82.5,10,0.0
150,84.6,23,0.0
151,84.6,17,0.0
152,74.9,14,0.0
153,85.5,14,0.0
154,78.2,13,0.0
155,82.0,24,0.0
156,81.5,14,0.0
157,82.2,13,0.0
158,84.7,16,0.0
159,77.1,14,0.0
160,85.0,19,0.0
161,82.8,26,0.0
162,84.5,10,0.0
163,79.2,28,0.0
164,80.0,15,0.0
165,76.9,14,0.0
166,84.2,18,0.0
167,78.9,14,0.0
168,82.1,11,0.0
169,80.7,13,0.0
170,86.8,10,0.0
171,81.8,16,0.0
172,80.8,17,0.0
173,80.4,15,0.0
174,81.0,19,0.0
175,75.5,17,0.0
176,80.4,26,0.0
177,80.7,19,0.0
178,85.2,13,0.0
179,81.9,12,0.0
180,76.2,13,0.0
181,82.3,17,0.0
182,76.6,14,0.0
183,82.0,14,0.0
184,76.2,11,0.0
185,77.0,16,0.0
186,74.2,14,0.0
187,76.6,17,0.0
188,82.2,17,0.0
189,72.5,14,0.0
190,78.5,27,0.0
191,79.5,11,0.0
192,81.4,13,0.0
193,83.0,16,0.0
194,80.0,16,0.0
195,82.4,14,0.0
196,77.4,27,0.0
197,74.5,22,0.0
198,81.7,14,0.0
199,82.3,18,0.0
